"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"csul","FBgn0015925","","","","Source: GO and domain annotation"
"DMAP1","FBgn0034537","","","","Source: domain annotation"
"Dph5","FBgn0024558","","","","Source: Literature"
"Dpy-30L1","FBgn0032293","","","","Source: GO annotation"
"Dpy-30L2","FBgn0035491","","","","Source: GO annotation"
"E(z)","FBgn0000629","","","","Source: GO annotation"
"egg","FBgn0086908","","","","Source: GO and domain annotation"
"Elp3","FBgn0031604","","","","Source: Literature"
"esc","FBgn0000588","","","","Source: GO annotation"
"escl","FBgn0032391","","","","Source: GO annotation"
"Fib","FBgn0003062","","","","Source: GO annotation"
"fid","FBgn0259146","","","","Source: GO and domain annotation"
"fl(2)d","FBgn0000662","","","","Source: FlyBase gene group"
"G9a","FBgn0040372","","","","Source: GO annotation"
"Gnmt","FBgn0038074","","","","Source: GO and domain annotation"
"gpp","FBgn0264495","","","","Source: GO annotation"
"ham","FBgn0045852","","","","Source: Literature"
"Hen1","FBgn0033686","","","","Source: GO and domain annotation"
"Hmt4-20","FBgn0025639","","","","Source: GO annotation"
"Ime4","FBgn0039139","","","","Source: GO annotation"
"jhamt","FBgn0028841","","","","Source: GO and domain annotation"
"l(2)10685","FBgn0283525","","","","Source: GO and domain annotation"
"l(2)35Bd","FBgn0001974","","","","Source: domain annotation (interpro)"
"Las","FBgn0029158","","","","Source: Literature"
"LBR","FBgn0034657","","","","Source: domain annotation"
"Lpt","FBgn0263667","","","","Source: domain annotation"
"Mes4","FBgn0034726","","","","Source: Literature"
"metl","FBgn0035247","","","","Source: GO and domain annotation"
"Mnn1","FBgn0031885","","","","Source: GO annotation"
"Mocs1","FBgn0263241","","","","Source: Literature"
"Mt2","FBgn0028707","","","","Source: GO and domain annotation"
"mtTFB1","FBgn0261381","","","","Source: GO and domain annotation"
"mtTFB2","FBgn0037778","","","","Source: GO and domain annotation"
"nej","FBgn0261617","","","","Source: GO annotation"
"Nep3","FBgn0031081","","","","Source: Literature"
"nito","FBgn0027548","","","","Source: FlyBase gene group"
"NSD","FBgn0039559","","","","Source: GO and domain annotation"
"Nsun2","FBgn0026079","","","","Source: GO and domain annotation"
"Nsun5","FBgn0259704","","","","Source: GO and domain annotation"
"Ntmt","FBgn0033457","","","","Source: GO and domain annotation"
"Pcmt","FBgn0086768","","","","Source: GO and domain annotation"
"PR-Set7","FBgn0011474","","","","Source: GO annotation"
"rswl","FBgn0034351","","","","Source: domain annotation"
"Rtf1","FBgn0034722","","","","Source: GO annotation"
"S","FBgn0003310","","","","Source: domain annotation"
"Sardh","FBgn0034276","","","","Source: domain annotation"
"Sbf","FBgn0025802","","","","Source: GO annotation"
"Sc2","FBgn0035471","","","","Source: domain annotation"
"Set1","FBgn0040022","","","","Source: GO and domain annotation"
"Set2","FBgn0030486","","","","Source: GO annotation"
"Smyd3","FBgn0011566","","","","Source: Literature"
"Smyd4-1","FBgn0033427","","","","Source: FlyBase gene group"
"Smyd4-2","FBgn0036282","","","","Source: FlyBase gene group"
"Smyd4-3","FBgn0033633","","","","Source: Literature"
"Smyd4-4","FBgn0027495","","","","Source: FlyBase gene group"
"Smyd5","FBgn0038869","","","","Source: GO annotation"
"SmydA-1","FBgn0033917","","","","Source: FlyBase gene group"
"SmydA-2","FBgn0036839","","","","Source: FlyBase gene group"
"SmydA-3","FBgn0262599","","","","Source: FlyBase gene group"
"SmydA-4","FBgn0030257","","","","Source: FlyBase gene group"
"SmydA-5","FBgn0033061","","","","Source: FlyBase gene group"
"SmydA-6","FBgn0034183","","","","Source: FlyBase gene group"
"SmydA-7","FBgn0034182","","","","Source: FlyBase gene group"
"SmydA-8","FBgn0053548","","","","Source: GO annotation"
"SmydA-9","FBgn0030102","","","","Source: FlyBase gene group"
"SpdS","FBgn0037723","","","","Source: domain annotation"
"ste14","FBgn0036336","","","","Source: GO and domain annotation"
"Su(var)3-9","FBgn0263755","","","","Source: GO annotation"
"Su(z)12","FBgn0020887","","","","Source: GO annotation"
"Tgs1","FBgn0266195","","","","Source: domain annotation"
"trr","FBgn0023518","","","","Source: GO and domain annotation"
"trx","FBgn0003862","","","","Source: GO and domain annotation"
"upSET","FBgn0036398","","","","Source: GO annotation"
"ush","FBgn0003963","","","","Source: Literature"
"vir","FBgn0003977","","","","Source: FlyBase gene group"
"Wdr82","FBgn0032030","","","","Source: GO annotation"
"wuho","FBgn0029857","","","","Source: GO annotation"
