"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"CG3168","FBgn0029896","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG31689","FBgn0031449","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG31693","FBgn0051693","Secondary Transporter","The Arsenite-Antimonite (ArsB) Efflux Family","",""
"CG31729","FBgn0051729","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"CG31731","FBgn0028539","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG31792","FBgn0051792","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG31793","FBgn0051793","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG32000","FBgn0052000","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"CG32053","FBgn0052053","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG32054","FBgn0052054","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG32079","FBgn0052079","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG32081","FBgn0052081","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG32091","FBgn0052091","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG32103","FBgn0052103","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG32669","FBgn0052669","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"CG3285","FBgn0031522","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG33124","FBgn0053124","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"CG33233","FBgn0053233","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG33234","FBgn0053234","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG33281","FBgn0053281","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG33282","FBgn0053282","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG33298","FBgn0032120","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"CG33509","FBgn0053509","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"CG33510","FBgn0053510","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"CG33511","FBgn0053511","Ion Channels","The Epithelial Na+ Channel (ENaC) Family","",""
"CG33934","FBgn0064119","Secondary Transporter","The Divalent Anion:Na+ Symporter (DASS) Family","",""
"CG33970","FBgn0053970","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG3409","FBgn0033095","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG34120","FBgn0083956","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG34396","FBgn0085425","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"CG3476","FBgn0031881","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG3649","FBgn0034785","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG3690","FBgn0040350","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG3790","FBgn0033778","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG3792","FBgn0031662","Secondary Transporter","The Lysosomal Cystine Transporter (LCT) Family","",""
"CG3822","FBgn0038837","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"CG4019","FBgn0034885","Ion Channels","The Major Intrinsic Protein (MIP) Family","",""
"CG4098","FBgn0036648","Ion Channels","The Transient Receptor Potential Ca2+ Channel (TRP-CC) Family","",""
"CG42235","FBgn0250757","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"CG42260","FBgn0259145","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"CG42269","FBgn0259164","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG42321","FBgn0259221","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"CG42732","FBgn0261698","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"CG42815","FBgn0261997","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG42816","FBgn0261998","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG42825","FBgn0262007","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG42826","FBgn0262008","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG4301","FBgn0030747","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"CG43066","FBgn0262476","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"CG43155","FBgn0262685","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"CG4324","FBgn0034956","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG43693","FBgn0263776","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG44098","FBgn0264907","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG4459","FBgn0038753","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG4462","FBgn0038752","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG4465","FBgn0038750","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG4476","FBgn0035969","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"CG4520","FBgn0038355","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"CG4562","FBgn0038740","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG4607","FBgn0029932","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG4630","FBgn0033809","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG4743","FBgn0039357","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG4797","FBgn0034909","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG4822","FBgn0031220","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG4991","FBgn0030817","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG4995","FBgn0032219","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG5002","FBgn0034275","Secondary Transporter","The Sulfate Permease (SulP) Family","",""
"CG5078","FBgn0037005","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG5254","FBgn0040383","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG5281","FBgn0037902","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"CG5348","FBgn0034156","Secondary Transporter","The Ca2+:Cation Antiporter (CaCA) Family","",""
"CG5398","FBgn0034882","Ion Channels","The Major Intrinsic Protein (MIP) Family","",""
"CG5404","FBgn0038354","Secondary Transporter","The Sulfate Permease (SulP) Family","",""
"CG5535","FBgn0036764","Secondary Transporter","The Amino Acid-Polyamine-Organocation (APC) Family","",""
"CG5549","FBgn0034911","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"CG5592","FBgn0035645","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG5621","FBgn0038840","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"CG5646","FBgn0039525","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG5687","FBgn0035293","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"CG5789","FBgn0039207","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG5805","FBgn0039223","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG5853","FBgn0032167","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG6006","FBgn0063649","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG6052","FBgn0036747","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG6125","FBgn0038337","Secondary Transporter","The Sulfate Permease (SulP) Family","",""
"CG6126","FBgn0038407","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG6230","FBgn0027582","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"CG6231","FBgn0038720","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG6293","FBgn0037807","Secondary Transporter","The Nucleobase:Cation Symporter-2 (NCS2) Family","",""
"CG6356","FBgn0039178","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG6404","FBgn0027615","Secondary Transporter","The Cytochrome Oxidase Biogenesis (Oxa1) Family","",""
"CG6484","FBgn0034247","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG6574","FBgn0037846","Secondary Transporter","The Reduced Folate Carrier (RFC) Family","",""
"CG6723","FBgn0037895","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"CG6752","FBgn0038296","Ion Channels","The Ryanodine-Inositol 1,4,5-triphosphate Receptor Ca2+ Channel (RIR-CaC) Family","",""
"CG6812","FBgn0036843","Secondary Transporter","The Mitochondrial Tricarboxylate Carrier (MTC) Family","",""
"CG6893","FBgn0036807","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG6901","FBgn0038414","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG6927","FBgn0029733","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"CG6928","FBgn0036240","Secondary Transporter","The Sulfate Permease (SulP) Family","",""
"CG6978","FBgn0029727","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG6980","FBgn0039228","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"CG7084","FBgn0038938","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG7091","FBgn0038099","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG7255","FBgn0036493","Secondary Transporter","The Amino Acid-Polyamine-Organocation (APC) Family","",""
"CG7309","FBgn0032314","Secondary Transporter","The Divalent Anion:Na+ Symporter (DASS) Family","",""
"CG7333","FBgn0038715","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG7342","FBgn0038716","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG7442","FBgn0037140","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG7458","FBgn0037144","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG7514","FBgn0035567","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG7589","FBgn0036727","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"CG7609","FBgn0027518","Unclassified","The Peroxisomal Protein Importer (PPI) Family","",""
"CG7627","FBgn0032026","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG7708","FBgn0038641","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"CG7720","FBgn0038652","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"CG7777","FBgn0033635","Ion Channels","The Major Intrinsic Protein (MIP) Family","",""
"CG7806","FBgn0032018","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG7881","FBgn0033048","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG7882","FBgn0033047","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG7888","FBgn0036116","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG7912","FBgn0039736","Secondary Transporter","The Sulfate Permease (SulP) Family","",""
"CG7943","FBgn0039741","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG8008","FBgn0033387","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
