"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"SMC1","FBgn0040283","HuDis670","","",""
"SMC3","FBgn0015615","HuDis670","","",""
"smo","FBgn0003444","HuDis670","","",""
"Snap29","FBgn0034913","HuDis670","","",""
"Snr1","FBgn0011715","HuDis670","","",""
"Sod","FBgn0003462","HuDis670","","",""
"Sod2","FBgn0010213","HuDis670","","",""
"Sodh-1","FBgn0024289","HuDis670","","",""
"Sodh-2","FBgn0022359","HuDis670","","",""
"Sos","FBgn0001965","HuDis670","","",""
"spas","FBgn0039141","HuDis670","","",""
"Spat","FBgn0014031","HuDis670","","",""
"spel1","FBgn0015546","HuDis670","","",""
"spn-A","FBgn0003479","HuDis670","","",""
"spn-B","FBgn0003480","HuDis670","","",""
"SPoCk","FBgn0052451","HuDis670","","",""
"Spt-I","FBgn0086532","HuDis670","","",""
"Sptr","FBgn0014032","HuDis670","","",""
"Ssadh","FBgn0039349","HuDis670","","",""
"sta","FBgn0003517","HuDis670","","",""
"ste24a","FBgn0034176","HuDis670","","",""
"Stim","FBgn0045073","HuDis670","","",""
"Stlk","FBgn0046692","HuDis670","","",""
"Su(fu)","FBgn0005355","HuDis670","","",""
"su(r)","FBgn0086450","HuDis670","","",""
"Su(z)12","FBgn0020887","HuDis670","","",""
"Sur-8","FBgn0038504","HuDis670","","",""
"Surf1","FBgn0029117","HuDis670","","",""
"sws","FBgn0003656","HuDis670","","",""
"Syx16","FBgn0031106","HuDis670","","",""
"Tace","FBgn0039734","HuDis670","","",""
"Taf1","FBgn0010355","HuDis670","","",""
"Taldo","FBgn0023477","HuDis670","","",""
"tam","FBgn0004406","HuDis670","","",""
"Tap42","FBgn0051852","HuDis670","","",""
"Task7","FBgn0037690","HuDis670","","",""
"Taz","FBgn0026619","HuDis670","","",""
"Tbh","FBgn0010329","HuDis670","","",""
"Tbp","FBgn0003687","HuDis670","","",""
"TER94","FBgn0261014","HuDis670","","",""
"Tg","FBgn0031975","HuDis670","","",""
"tgo","FBgn0264075","HuDis670","","",""
"Thiolase","FBgn0025352","HuDis670","","",""
"TkR99D","FBgn0004622","HuDis670","","",""
"Top1","FBgn0004924","HuDis670","","",""
"Topors","FBgn0267351","HuDis670","","",""
"Torsin","FBgn0025615","HuDis670","","",""
"toy","FBgn0019650","HuDis670","","",""
"Tpc1","FBgn0037852","HuDis670","","",""
"Tpi","FBgn0086355","HuDis670","","",""
"Trc8","FBgn0039668","HuDis670","","",""
"Treh","FBgn0003748","HuDis670","","",""
"Trs20","FBgn0266724","HuDis670","","",""
"Tsc1","FBgn0026317","HuDis670","","",""
"TSG101","FBgn0036666","HuDis670","","",""
"Tsp","FBgn0031850","HuDis670","","",""
"ttv","FBgn0265974","HuDis670","","",""
"tw","FBgn0086368","HuDis670","","",""
"Uba1","FBgn0023143","HuDis670","","",""
"Ubc6","FBgn0004436","HuDis670","","",""
"Ube3a","FBgn0061469","HuDis670","","",""
"unc-104","FBgn0267002","HuDis670","","",""
"unc-119","FBgn0025549","HuDis670","","",""
"Updo","FBgn0033428","HuDis670","","",""
"Upf3","FBgn0034923","HuDis670","","",""
"UQCR-14","FBgn0030733","HuDis670","","",""
"UQCR-14L","FBgn0039576","HuDis670","","",""
"UQCR-Q","FBgn0036728","HuDis670","","",""
"Utx","FBgn0260749","HuDis670","","",""
"Vang","FBgn0015838","HuDis670","","",""
"vanin-like","FBgn0040069","HuDis670","","",""
"vap","FBgn0003969","HuDis670","","",""
"veil","FBgn0034225","HuDis670","","",""
"VhaM8.9","FBgn0037671","HuDis670","","",""
"vimar","FBgn0022960","HuDis670","","",""
"Vinc","FBgn0004397","HuDis670","","",""
"Vkor","FBgn0053544","HuDis670","","",""
"vnc","FBgn0263251","HuDis670","","",""
"Vps13","FBgn0033194","HuDis670","","",""
"Vps35","FBgn0034708","HuDis670","","",""
"wal","FBgn0010516","HuDis670","","",""
"WASp","FBgn0024273","HuDis670","","",""
"WDR79","FBgn0031782","HuDis670","","",""
"wfs1","FBgn0039003","HuDis670","","",""
"whd","FBgn0261862","HuDis670","","",""
"Wwox","FBgn0031972","HuDis670","","",""
"xit","FBgn0029906","HuDis670","","",""
"Xpac","FBgn0004832","HuDis670","","",""
"Xpd","FBgn0261850","HuDis670","","",""
"Zip99C","FBgn0039714","HuDis670","","",""
"Zw","FBgn0004057","HuDis670","","",""
