## FlyBase Gene Groups report
## Generated: Mon Mar 27 06:43:04 2023
## Using chado datasource: dbi:Pg:dbname=fb_2023_02_reporting;host=flysql25;port=5432

## Where groups are arranged into hierarchies, note that:
## i) the member genes are only associated with the terminal subgroups
## ii) the immediate parent of any subgroup is identified in the 'Parent_FB_group_id' and 'Parent_FB_group_symbol' columns

## FB_group_id	FB_group_symbol	FB_group_name	Parent_FB_group_id	Parent_FB_group_symbol	Group_member_FB_gene_id	Group_member_FB_gene_symbol
FBgg0000509	IRK	INWARDLY RECTIFYING POTASSIUM CHANNEL SUBUNITS	FBgg0000512	KCN	FBgn0265042	Irk1
FBgg0001714	PYDH	PYRUVATE DEHYDROGENASES (ACETYL-TRANSFERRING)	FBgg0000984	OXRAOD	FBgn0039635	Pdhb
FBgg0001714	PYDH	PYRUVATE DEHYDROGENASES (ACETYL-TRANSFERRING)	FBgg0000984	OXRAOD	FBgn0028325	Pdha
FBgg0001714	PYDH	PYRUVATE DEHYDROGENASES (ACETYL-TRANSFERRING)	FBgg0000984	OXRAOD	FBgn0029722	CG7024
FBgg0001434	S14-16P	ATP-DEPENDENT SERINE ENDOPEPTIDASES	FBgg0001401	SPEPT	FBgn0032229	ClpP
FBgg0001434	S14-16P	ATP-DEPENDENT SERINE ENDOPEPTIDASES	FBgg0001401	SPEPT	FBgn0036892	Lon
FBgg0000771	THAPTF	THAP DOMAIN TRANSCRIPTION FACTORS	FBgg0000745	TFS	FBgn0035157	CG13894
FBgg0000771	THAPTF	THAP DOMAIN TRANSCRIPTION FACTORS	FBgg0000745	TFS	FBgn0035414	CG14965
FBgg0000771	THAPTF	THAP DOMAIN TRANSCRIPTION FACTORS	FBgg0000745	TFS	FBgn0040466	Dlip2
FBgg0000771	THAPTF	THAP DOMAIN TRANSCRIPTION FACTORS	FBgg0000745	TFS	FBgn0038273	CG14860
FBgg0000851	ERMANI	ENDOPLASMIC RETICULUM CLASS I ALPHA-MANNOSIDASES	FBgg0000834	GH47	FBgn0039634	alpha-Man-Ib
FBgg0000064	IAP	INHIBITOR OF APOPTOSIS			FBgn0015247	Diap2
FBgg0000064	IAP	INHIBITOR OF APOPTOSIS			FBgn0260635	Diap1
FBgg0000064	IAP	INHIBITOR OF APOPTOSIS			FBgn0266717	Bruce
FBgg0000064	IAP	INHIBITOR OF APOPTOSIS			FBgn0264291	Det
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0243512	puc
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0083992	Mkp
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0062449	CG13197
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0030556	mRNA-cap
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0036844	Mkp3
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0025742	mtm
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0029157	ssh
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0024734	PRL-1
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0031044	MKP-4
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0028497	Mtmr6
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0026379	Pten
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0036369	CG10089
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0039111	PTPMT1
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0031952	Cdc14
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0030735	CG3632
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0039742	CG15528
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0027506	EDTP
FBgg0000265	DSP	DUAL SPECIFICITY PROTEIN PHOSPHATASES	FBgg0000260	PTP	FBgn0030976	CG7378
FBgg0001000	OXRCHNH-U	UNCLASSIFIED CH-NH OXIDOREDUCTASES	FBgg0000998	OXRCHNH	FBgn0003423	slgA
FBgg0001000	OXRCHNH-U	UNCLASSIFIED CH-NH OXIDOREDUCTASES	FBgg0000998	OXRCHNH	FBgn0286783	Etf-QO
FBgg0001000	OXRCHNH-U	UNCLASSIFIED CH-NH OXIDOREDUCTASES	FBgg0000998	OXRCHNH	FBgn0034276	Sardh
FBgg0001000	OXRCHNH-U	UNCLASSIFIED CH-NH OXIDOREDUCTASES	FBgg0000998	OXRCHNH	FBgn0086348	se
FBgg0000041	GPCR-A	CLASS A GPCRs	FBgg0000172	GPCR		
FBgg0000586	NSCC	NON-SELECTIVE CATION CHANNEL SUBUNITS	FBgg0000589	ICC		
FBgg0001134	ART	ADP-RIBOSYLTRANSFERASES	FBgg0001110	PENT	FBgn0027508	Tnks
FBgg0001134	ART	ADP-RIBOSYLTRANSFERASES	FBgg0001110	PENT	FBgn0010247	Parp
FBgg0001134	ART	ADP-RIBOSYLTRANSFERASES	FBgg0001110	PENT	FBgn0029783	Sirt4
FBgg0001134	ART	ADP-RIBOSYLTRANSFERASES	FBgg0001110	PENT	FBgn0034129	Parp16
FBgg0000996	OXRCHNH2	CH-NH2 GROUP OXIDOREDUCTASES	FBgg0000923	OXR		
FBgg0000549	ABCE	ABCE ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY	FBgg0000542	ABC-NT	FBgn0086706	pix
FBgg0001745	FCC	ATP-DEPENDENT FE-S CLUSTER CHAPERONES	FBgg0001576	ATPASE	FBgn0032597	Nubp1
FBgg0001745	FCC	ATP-DEPENDENT FE-S CLUSTER CHAPERONES	FBgg0001576	ATPASE	FBgn0037011	Nubp2
FBgg0001745	FCC	ATP-DEPENDENT FE-S CLUSTER CHAPERONES	FBgg0001576	ATPASE	FBgn0032986	CG3262
FBgg0001347	B-GLR	BETA-GLUCURONIDASES	FBgg0001353	O-GH	FBgn0270927	betaGlu
FBgg0001347	B-GLR	BETA-GLUCURONIDASES	FBgg0001353	O-GH	FBgn0034417	CG15117
FBgg0001314	CHS	CHITIN SYNTHASES	FBgg0001292	GLCNACT	FBgn0029091	Chs2
FBgg0001314	CHS	CHITIN SYNTHASES	FBgg0001292	GLCNACT	FBgn0001311	kkv
FBgg0000100	CASP	CASPASES	FBgg0001399	CPEPT	FBgn0020381	Dredd
FBgg0000100	CASP	CASPASES	FBgg0001399	CPEPT	FBgn0033051	Strica
FBgg0000100	CASP	CASPASES	FBgg0001399	CPEPT	FBgn0019972	Drice
FBgg0000100	CASP	CASPASES	FBgg0001399	CPEPT	FBgn0026404	Dronc
FBgg0000100	CASP	CASPASES	FBgg0001399	CPEPT	FBgn0010501	Dcp-1
FBgg0000100	CASP	CASPASES	FBgg0001399	CPEPT	FBgn0028381	Decay
FBgg0000100	CASP	CASPASES	FBgg0001399	CPEPT	FBgn0033659	Damm
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0037001	ND-39
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0025839	ND-B14.5A
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0037172	ND-B14.5AL
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0029888	ND-ASHI
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0030292	NdufV3
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0047038	ND-13B
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0034645	ND-B12
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0031021	ND-18
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0040931	NdufA3
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0027785	NP15.6
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0019957	ND-42
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0029971	ND-MNLL
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0031436	ND-B17.2
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0040705	ND-B8
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0029868	ND-B16.6
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0085736	CG40472
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0033570	ND-B14
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0035046	ND-19
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0032511	ND-B22
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0021967	ND-PDSW
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0033961	ND-B15
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0031505	ND-B14.5B
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0011455	ND-SGDH
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0031684	ND-13A
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0085468	ND-MWFE
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0031228	ND-15
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0030605	ND-B18
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0011361	ND-ACP
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0001989	ND-B17
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0034576	ND-B14.7
FBgg0001387	MCI-A	MITOCHONDRIAL COMPLEX I - ACCESSORY SUBUNITS	FBgg0000487	MCI	FBgn0058002	ND-AGGG
FBgg0000043	VSP4C	VPS4-VTA1 COMPLEX	FBgg0000215	ESCRT	FBgn0283469	Vps4
FBgg0000043	VSP4C	VPS4-VTA1 COMPLEX	FBgg0000215	ESCRT	FBgn0035251	Vta1
FBgg0000084	SNAP	SOLUBLE N-ETHYLMALEIMIDE-SENSITIVE FACTOR-ATTACHMENT PROTEINS			FBgn0266721	gammaSnap2
FBgg0000084	SNAP	SOLUBLE N-ETHYLMALEIMIDE-SENSITIVE FACTOR-ATTACHMENT PROTEINS			FBgn0250791	alphaSnap
FBgg0000084	SNAP	SOLUBLE N-ETHYLMALEIMIDE-SENSITIVE FACTOR-ATTACHMENT PROTEINS			FBgn0028552	gammaSnap1
FBgg0001603	NTPDPASE	NUCLEOSIDE TRIPHOSPHATE DIPHOSPHATASES	FBgg0001573	AAH	FBgn0250837	dUTPase
FBgg0001603	NTPDPASE	NUCLEOSIDE TRIPHOSPHATE DIPHOSPHATASES	FBgg0001573	AAH	FBgn0032077	CG9515
FBgg0001603	NTPDPASE	NUCLEOSIDE TRIPHOSPHATE DIPHOSPHATASES	FBgg0001573	AAH	FBgn0031663	CG8891
FBgg0001336	CNHLAN	CARBON-NITROGEN HYDROLASES OF LINEAR AMIDINES	FBgg0001304	CNHNP	FBgn0030467	CG1764
FBgg0001336	CNHLAN	CARBON-NITROGEN HYDROLASES OF LINEAR AMIDINES	FBgg0001304	CNHNP	FBgn0023535	arg
FBgg0000465	G-SUB-G	HETEROTRIMERIC G-PROTEIN GAMMA SUBUNITS	FBgg0000458	G-SUB	FBgn0267252	Ggamma30A
FBgg0000465	G-SUB-G	HETEROTRIMERIC G-PROTEIN GAMMA SUBUNITS	FBgg0000458	G-SUB	FBgn0263029	CG43324
FBgg0000465	G-SUB-G	HETEROTRIMERIC G-PROTEIN GAMMA SUBUNITS	FBgg0000458	G-SUB	FBgn0004921	Ggamma1
FBgg0001785	BARA	BARAMICINS			FBgn0050285	BaraC
FBgg0001785	BARA	BARAMICINS			FBgn0288447	BaraA2
FBgg0001785	BARA	BARAMICINS			FBgn0053470	BaraA1
FBgg0001785	BARA	BARAMICINS			FBgn0033353	BaraB
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0039407	Trmt61
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0038861	Trm7-34
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0037708	CG9386
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0038471	Trm7-32
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0034351	rswl
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0025629	CG4045
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0259146	fid
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0031189	CG14618
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0085224	CG34195
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0033229	CG12822
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0026079	Nsun2
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0042173	CG18853
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0037435	CG18048
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0034748	CG17807
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0052281	CG32281
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0035247	Mettl2
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0028707	Mt2
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0032430	Trm1
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0038953	CG18596
FBgg0001146	TRNAMT	TRNA METHYLTRANSFERASES	FBgg0001156	RNAMT	FBgn0037250	CG1074
FBgg0001469	RDRNASE	RNA-DNA HYBRID RIBONUCLEASES	FBgg0001480	ERNASE	FBgn0031252	CG13690
FBgg0001469	RDRNASE	RNA-DNA HYBRID RIBONUCLEASES	FBgg0001480	ERNASE	FBgn0023171	rnh1
FBgg0001469	RDRNASE	RNA-DNA HYBRID RIBONUCLEASES	FBgg0001480	ERNASE	FBgn0025832	Fen1
FBgg0000754	MADF-BESS	MADF-BESS DOMAIN PROTEINS				
FBgg0001791	KAT-U	UNCLASSIFIED LYSINE N-ACETYLTRANSFERASES	FBgg0000317	KAT	FBgn0035766	eco
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0004852	Ac76E
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0023416	Ac3
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0022710	Ac13E
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0024150	Ac78C
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0040506	ACXE
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0263131	CG43373
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0040507	ACXD
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0040509	ACXB
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0040510	ACXA
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0040508	ACXC
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0052301	CG32301
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0052305	CG32305
FBgg0000874	AC	ADENYLATE CYCLASES	FBgg0000827	POLYA	FBgn0003301	rut
FBgg0001402	TPEPT	THREONINE PEPTIDASES	FBgg0001397	PEPT		
FBgg0000309	PCG-C	POLYCOMB GROUP COMPLEXES				
FBgg0001564	TNFR	TUMOR NECROSIS FACTOR RECEPTORS	FBgg0001106	TM-R	FBgn0030941	wgn
FBgg0001564	TNFR	TUMOR NECROSIS FACTOR RECEPTORS	FBgg0001106	TM-R	FBgn0032682	grnd
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0037857	Tengl4
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0046696	RNaseP:RNA
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0051679	Tengl3
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0261065	Cpsf73
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0031987	CG12375
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0029858	mldr
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0036321	CG14120
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0036323	CG14118
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0039183	Dis3
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0030251	CG2145
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0036831	CG6839
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0036833	CG3819
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0065098	RNaseMRP:RNA
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0052463	Tengl2
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0038769	Regnase-1
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0011207	pelo
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0034700	CG11269
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0033490	CG12917
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0038327	Trax
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0039691	IntS11
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0030892	Swt1
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0261984	Ire1
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0259742	CG42360
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0261266	zuc
FBgg0001478	ERNASE-U	UNCLASSIFIED ENDORIBONUCLEASES	FBgg0001480	ERNASE	FBgn0039593	Sid
